sample	id	groundwater	medium	fraction	yield	age
P21015_1058	a5u	KR0015	ace	unfiltered	100.49999999999999	5
P21015_1059	a5f	KR0015	ace	filtered	2.7	5
P21015_1060	l5u	KR0015	lys	unfiltered	1855	5
P21015_1061	l5f	KR0015	lys	filtered	25.15	5
P21015_1062	a6u	KR0015	ace	unfiltered	157	6
P21015_1063	a6f	KR0015	ace	filtered	4.6	6
P21015_1064	l6u	KR0015	lys	unfiltered	2350	6
P21015_1065	l6f	KR0015	lys	filtered	8.5	6
P21015_1066	a7u	KR0015	ace	unfiltered	106	7
P21015_1067	a7f	KR0015	ace	filtered	3.6999999999999997	7
P21015_1068	l7u	KR0015	lys	unfiltered	2280	7
P21015_1069	l7f	KR0015	lys	filtered	15.25	7
P21015_1070	a8u	KR0015	ace	unfiltered	279	8
P21015_1071	a8f	KR0015	ace	filtered	7.449999999999999	8
P21015_1072	l8u	KR0015	lys	unfiltered	1970	8
P21015_1073	l8f	KR0015	lys	filtered	24.65	8
P21015_1074	a9u	KR0015	ace	unfiltered	152.5	9
P21015_1075	a9f	KR0015	ace	filtered	8.05	9
P21015_1076	l9u	KR0015	lys	unfiltered	82	9
P21015_1077	l9f	KR0015	lys	filtered	39.800000000000004	9
P21015_1078	a10u	KR0015	ace	unfiltered	280	10
P21015_1079	a10f	KR0015	ace	filtered	11.700000000000001	10
P21015_1080	l10u	KR0015	lys	unfiltered	1785.0000000000002	10
P21015_1081	l10f	KR0015	lys	filtered	381	10
P21015_1082	ac1	KR0015	ace	0.1	16.05	ctrl
P21015_1083	ac2	KR0015	ace	0.1	0	ctrl
P21015_1084	ac3	KR0015	ace	0.1	4.105	ctrl
P21015_1085	ac4	KR0015	ace	unfiltered	0	ctrl
P21015_1086	ac5	KR0015	ace	unfiltered	0	ctrl
P21015_1087	lc1	KR0015	lys	0.1	8.450000000000001	ctrl
P21015_1088	lc2	KR0015	lys	0.1	6.2	ctrl
P21015_1089	lc3	KR0015	lys	0.1	16.05	ctrl
P21015_1090	lc4	KR0015	lys	unfiltered	61.5	ctrl
P21015_1091	lc5	KR0015	lys	unfiltered	68.5	ctrl
P21015_1029	NA	SA2600	env	NA	NA	NA
P21015_1030	NA	SA2600	env	NA	NA	NA
P21015_1031	NA	SA2600	env	NA	NA	NA
P21015_1023	NA	SA1420	env	NA	NA	NA
P21015_1024	NA	SA1420	env	NA	NA	NA
P21015_1025	NA	SA1420	env	NA	NA	NA
P21015_1020	NA	KR0015	env	NA	NA	NA
P21015_1021	NA	KR0015	env	NA	NA	NA
P21015_1022	NA	KR0015	env	NA	NA	NA
P26201_1051	NA	KA3385	env	NA	NA	NA
P26201_1052	NA	KA3385	env	NA	NA	NA
